TCS_Name,B_mag,V_mag,R_mag,I_mag,Name
0231+051,13.804,14.481,13.414,13.045,PG0231_051A
0231+051,14.027,15.115,13.352,12.766,PG0231_051B
0231+051,12.772,13.482,12.367,11.973,PG0231_051C
0231+051,13.702,14.373,13.303,12.918,PG0231_051D
0231+051,16.105,15.776,16.267,16.638,PG0231_051E
0231+051,14.735,16.183,13.781,12.783,PG0231_051F
F-24,12.411,12.208,12.321,11.957,F_24
94-171,12.659,13.476,12.179,11.696,SA94_171
94-296,12.255,13.005,11.84,11.453,SA94_296
94-394,12.273,12.818,11.929,11.599,SA94_394
94-401,14.293,14.931,13.904,13.535,SA94_401
94-242,11.728,12.029,11.55,11.366,SA94_242
94-251,11.204,12.423,10.545,9.958,SA94_251
94-702,11.594,13.012,10.838,10.165,SA94_702
GD-50,14.063,13.787,14.208,14.388,GD_50
95-15,11.302,12.014,10.878,10.493,SA95_15
95-301,11.216,12.506,10.524,9.904,SA95_301
95-16,14.313,15.619,13.517,12.841,SA95_16
95-302,11.694,12.519,11.223,10.803,SA95_302
95-96,10.01,10.157,9.931,9.836,SA95_96
95-97,14.818,15.724,14.296,13.75,SA95_97
95-98,14.448,15.629,13.725,13.105,SA95_98
95-100,15.633,16.424,15.095,14.674,SA95_100
95-101,12.677,13.455,12.241,11.815,SA95_101
95-102,15.622,16.623,15.174,14.556,SA95_102
95-252,15.394,16.846,14.578,13.831,SA95_252
95-190,12.627,12.914,12.432,12.212,SA95_190
95-193,14.338,15.549,13.59,12.974,SA95_193
95-105,13.574,14.55,13.024,12.488,SA95_105
95-107,16.275,17.599,15.328,14.366,SA95_107
95-106,15.137,16.388,14.743,14.235,SA95_106
95-112,15.502,16.164,14.897,14.277,SA95_112
95-41,14.06,14.963,13.471,12.886,SA95_41
95-317,13.449,14.769,12.681,11.973,SA95_317
95-42,15.606,15.391,15.725,15.905,SA95_42
95-263,12.679,14.179,11.878,11.167,SA95_263
95-115,14.68,15.516,14.103,13.524,SA95_115
95-43,10.803,11.313,10.495,10.179,SA95_43
95-271,13.669,14.956,12.935,12.218,SA95_271
95-328,13.525,15.057,12.617,11.749,SA95_328
95-329,14.617,15.801,13.851,13.209,SA95_329
95-330,12.174,14.173,11.008,9.908,SA95_330
95-275,13.479,15.242,12.468,11.537,SA95_275
95-276,14.118,15.343,13.37,12.724,SA95_276
95-60,13.429,14.205,12.965,12.516,SA95_60
95-218,12.095,12.803,11.698,11.328,SA95_218
95-132,12.064,12.512,11.805,11.518,SA95_132
95-62,13.538,14.893,12.796,12.111,SA95_62
95-137,14.44,15.897,13.547,12.702,SA95_137
95-139,12.196,13.119,11.634,11.158,SA95_139
95-66,12.892,13.607,12.466,12.028,SA95_66
95-227,15.779,16.55,15.264,14.712,SA95_227
95-142,12.927,13.515,12.556,12.181,SA95_142
95-74,11.531,12.657,10.931,10.364,SA95_74
95-231,14.216,14.668,13.946,13.656,SA95_231
95-284,13.669,15.067,12.851,12.085,SA95_284
95-149,10.938,12.531,10.064,9.253,SA95_149
95-285,15.561,16.498,14.954,14.352,SA95_285
95-236,11.491,12.227,11.071,10.66,SA95_236
96-21,12.182,12.672,11.883,11.586,SA96_21
96-36,10.591,10.838,10.457,10.321,SA96_36
96-737,11.716,13.05,10.983,10.288,SA96_737
96-409,13.778,14.321,13.438,13.098,SA96_409
96-83,11.719,11.898,11.626,11.529,SA96_83
96-235,11.14,12.214,10.581,10.071,SA96_235
G97-42,12.443,14.082,11.272,9.787,G97-42
G102-22,11.509,13.13,10.298,8.708,G102-22
GD-71,13.032,12.783,13.169,13.333,GD_71
97-249,11.733,12.381,11.364,11.011,SA97_249
97-42,12.443,14.082,11.288,9.802,SA97_42
97-345,11.608,13.263,10.68,9.836,SA97_345
97-351,9.781,9.983,9.657,9.516,SA97_351
97-75,11.483,13.355,10.436,9.484,SA97_75
97-284,10.788,12.151,10.014,9.289,SA97_284
97-224,14.085,14.995,13.532,12.985,SA97_224
98-961,13.089,14.372,12.388,11.726,SA98_961
98-966,14.001,14.47,13.718,13.387,SA98_966
98-556,14.137,14.475,13.941,13.698,SA98_556
98-557,14.78,16.177,14.025,13.284,SA98_557
98-562,12.185,12.707,11.88,11.577,SA98_562
98-563,14.162,14.578,13.868,13.551,SA98_563
98-978,10.572,11.181,10.223,9.901,SA98_978
98-L1,15.672,16.915,14.942,14.23,SA98_L1
98-L2,15.859,17.199,15.105,14.533,SA98_L2
98-581,14.556,14.794,14.438,14.194,SA98_581
98-580,14.728,15.095,14.487,14.182,SA98_580
